uf,municipio,nome_conflito,familias,area
Espírito Santo,Pinheiros,Área S 105/Margens da BR- 101/Suzano,50,414
Espírito Santo,São Mateus/ Conceição da Barra/ Aracruz,Aracruz/Vila do Riacho/Caieiras Velhas/Fibria/Votorantim/Tupini quim,1200,138000
Espírito Santo,Vila Velha,Fazenda na Barra do Jucu,150,"1,5"
Espírito Santo,Subtotal = 7,,1668,154372
Goiás,Alto Paraíso de Goiás,Faz. Esusa/Reserva Ambiental/PDS,53,
Goiás,Anápolis,"Faz. Agropastoril Dom Inácio ""João de Deus""",100,
Goiás,Baliza,Assent. Oziel de Baliza/Córrego Meia Lua,15,
Goiás,Bom Jesus de Goiás,Acamp. Recanto da Paz/Fazenda Sete Irmãos/Grupo Filmaro/Us. Goiasa,13,
Goiás,Campinaçu,Faz. Boa Sorte/Palmeiras do Maranhão/ Córrego da Vaca,1,50
Goiás,Campinaçu,Fazenda Veredas,1,
Goiás,Catalão,Comunidade Macaúba/Vale,30,
Goiás,Catalão,Com. Mata Preta/Coqueiros/Macaúba/Chap adão/Mosaic/Cmoc/Vale,40,
Goiás,Cavalcante,Com. Quilombola São Domingos/Tatu/ São José/Mineradora Brazman/Zeus,70,
Goiás,Cavalcante/ Monte Alegre de Goiás,Com. Vão de Almas/Hidrelétrica Santa Mônica/Kalunga,600,250000
Goiás,Cavalcante/ Monte Alegre de Goiás,Com. Engenho II/Quilombo Kalunga,250,
Goiás,Corumbá de Goiás,Centro de Formação Santa Dica,,
Goiás,Flores de Goiás,Assentamento São Vicente,400,19166
Goiás,Flores de Goiás,Assent. Vale do Macacão/Rio Paranã/Rio Praim/Rio Macaquinho,5,
Goiás,Guapó/ Campestre de Goiás/ Palmeiras de Goiás,Faz. Palmeiras/Assent. Canudos,450,12725
Goiás,Ipameri,Faz. Buriti/Corumbá Velho/Pré- Assent. Ana Ferreira,25,
Goiás,Ipameri/ Catalão,Faz. Ouro Verde/Acamp. José Belmiro/Olga Benário,33,
Goiás,Itaberaí,Assentamento Dom Fernando,54,
Goiás,Jaupaci,Fazenda em Jaupaci,46,380
